,Area,Location_A,Quantity (sq.km),Sentinel pixels,Lat,Lon,tile,EventDate,Product_title,Image_date,CloudCover,id,DaysDiff
234,Berri,Estimated,0.428,4.28,,,39RUL,10/19/2010,0,0,0,0,0
210,Berri,Estimated,0.014,0.14,,,39RUL,1/9/2011,0,0,0,0,0
222,Berri,Estimated,11.855,118.55,,,39RUL,1/27/2011,0,0,0,0,0
240,Berri,Estimated,0.001,0.01,,,39RUL,4/16/2012,0,0,0,0,0
95,Berri,Estimated,0.001,0.01,,,39RUL,8/12/2013,0,0,0,0,0
279,Berri,Estimated,0.64,6.4,,,39RUL,12/28/2014,0,0,0,0,0
96,Duba,Estimated,0,0,,,36RYR,7/8/2009,0,0,0,0,0
175,Duba,Estimated,0.5,5,,,36RYR,10/12/2009,0,0,0,0,0
117,Duba,Estimated,0.026,0.26,,,36RYR,11/18/2011,0,0,0,0,0
181,Duba,Exact,15.2,152,,,36RYR,2/25/2017,0,0,0,0,0
317,Hasabah Field,Estimated,0.004,0.04,,,39RUM,1/19/2017,0,0,0,0,0
79,Hasabah Field,Exact,0.005,0.05,,,39RUM,2/21/2017,0,0,0,0,0
190,Jana Island,Estimated,0,0,,,39RVL,4/23/2009,0,0,0,0,0
248,Jana Island,Estimated,0.307,3.07,,,39RVL,8/20/2009,0,0,0,0,0
112,Jazan Bulk Plant,Estimated,0,0,,,37PHT,1/21/2009,0,0,0,0,0
212,Jazan Bulk Plant,Estimated,0,0,,,37PHT,5/26/2009,0,0,0,0,0
254,Jazan Bulk Plant,Estimated,10,100,,,37PHT,7/22/2013,0,0,0,0,0
262,Jazan Bulk Plant,Estimated,0.004,0.04,,,37PHT,12/30/2013,0,0,0,0,0
257,Jazan Bulk Plant,Estimated,0.8,8,,,37PHT,1/31/2014,0,0,0,0,0
323,Jazan Bulk Plant,Estimated,0.003,0.03,,,37PHT,6/29/2014,0,0,0,0,0
331,Jazan Bulk Plant,Estimated,10.37,103.7,,,37PHT,7/14/2015,0,0,0,0,0
126,Jeddah,Estimated,0,0,,,37QDD,6/5/2009,0,0,0,0,0
173,Jeddah,Estimated,0,0,,,37QDD,6/24/2009,0,0,0,0,0
77,Jeddah,Estimated,0.004,0.04,,,37QDD,10/26/2009,0,0,0,0,0
22,Jeddah,Estimated,0,0,,,37QDD,11/7/2009,0,0,0,0,0
8,Jeddah,Estimated,1.58,15.8,,,37QDD,5/8/2011,0,0,0,0,0
178,Jeddah,Estimated,1.03,10.3,,,37QDD,5/23/2011,0,0,0,0,0
199,Jeddah,Estimated,0.001,0.01,,,37QDD,8/2/2011,0,0,0,0,0
137,Jeddah,Estimated,2.37,23.7,,,37QDD,8/7/2011,0,0,0,0,0
152,Jeddah,Estimated,0.2,2,,,37QDD,2/7/2012,0,0,0,0,0
83,Jeddah,Estimated,0.001,0.01,,,37QDD,3/5/2014,0,0,0,0,0
110,Jeddah,Estimated,0.04,0.4,,,37QDD,5/30/2014,0,0,0,0,0
78,Jeddah,Estimated,0.007,0.07,,,37QDD,9/23/2014,0,0,0,0,0
127,Jeddah,Estimated,0.001,0.01,,,37QDD,2/13/2015,0,0,0,0,0
259,Jeddah,Estimated,0.001,0.01,,,37QDD,5/5/2015,0,0,0,0,0
191,Jeddah,Estimated,0.009,0.09,,,37QDD,1/8/2016,0,0,0,0,0
217,Jizan Economic City,Estimated,110,1100,,,37GHU,9/28/2014,0,0,0,0,0
231,Juaymah,Estimated,18,180,,,39RVK,8/24/2009,0,0,0,0,0
29,Juaymah,Estimated,0.35,3.5,,,39RVK,8/26/2009,0,0,0,0,0
86,Juaymah,Estimated,0,0,,,39RVK,9/30/2009,0,0,0,0,0
174,Juaymah,Estimated,2.11,21.1,,,39RVK,5/5/2010,0,0,0,0,0
50,Juaymah,Estimated,4.96,49.6,,,39RVK,6/1/2010,0,0,0,0,0
250,Juaymah,Estimated,0.006,0.06,,,39RVK,6/19/2010,0,0,0,0,0
255,Juaymah,Estimated,0.216,2.16,,,39RVK,8/29/2010,0,0,0,0,0
284,Juaymah,Estimated,0.592,5.92,,,39RVK,5/25/2011,0,0,0,0,0
325,Juaymah,Estimated,0.003,0.03,,,39RVK,6/7/2011,0,0,0,0,0
208,Juaymah,Estimated,1.096,10.96,,,39RVK,8/4/2011,0,0,0,0,0
151,Juaymah,Estimated,185.4,1854,,,39RVK,8/22/2011,0,0,0,0,0
106,Juaymah,Estimated,0.006,0.06,,,39RVK,4/8/2012,0,0,0,0,0
335,Juaymah,Estimated,0.443,4.43,,,39RVK,8/30/2015,0,0,0,0,0
306,Juaymah,Estimated,0.031,0.31,,,39RVK,10/6/2015,0,0,0,0,0
101,Juaymah,Estimated,2.767,27.67,,,39RVK,1/31/2016,0,0,0,0,0
209,Juaymah,Estimated,9.562,95.62,,,39RVK,2/21/2016,0,0,0,0,0
85,Juaymah,Estimated,26.505,265.05,,,39RVK,12/10/2016,0,0,0,0,0
46,Juaymah,Exact,0.046,0.46,,,39RVK,2/19/2017,0,0,0,0,0
87,Juaymah,Estimated,0.075,0.75,,,39RVK,4/9/2017,0,0,0,0,0
88,Karan,Estimated,3.25,32.5,,,39RVL,2/18/2010,0,0,0,0,0
142,Karan,Estimated,2.763,27.63,,,39RVL,3/16/2010,0,0,0,0,0
242,Mahara,Estimated,0.074,0.74,,,39RUM,6/23/2009,0,0,0,0,0
156,Mahara,Estimated,0.18,1.8,,,39RUM,12/11/2009,0,0,0,0,0
103,Mahara,Estimated,0.036,0.36,,,39RUM,9/2/2012,0,0,0,0,0
219,Manifa,Estimated,0.001,0.01,,,39RUL,11/13/2012,0,0,0,0,0
14,Manifa,Estimated,7.8,78,,,39RUL,4/1/2013,0,0,0,0,0
145,Manifa,Estimated,0.291,2.91,,,39RUL,9/4/2015,0,0,0,0,0
332,Manifa,Estimated,7.696,76.96,,,39RUL,4/8/2017,0,0,0,0,0
295,Marjan,Estimated,0.001,0.01,,,39RUM,4/26/2009,0,0,0,0,0
55,Marjan,Estimated,0.204,2.04,,,39RUM,4/30/2009,0,0,0,0,0
300,Marjan,Estimated,0.3,3,,,39RUM,5/1/2009,0,0,0,0,0
140,Marjan,Estimated,1119,11190,,,39RUM,5/5/2009,0,0,0,0,0
316,Marjan,Estimated,0.01,0.1,,,39RUM,5/24/2009,0,0,0,0,0
189,Marjan,Estimated,20.2,202,,,39RUM,9/10/2009,0,0,0,0,0
123,Marjan,Estimated,0.003,0.03,,,39RUM,4/24/2010,0,0,0,0,0
138,Marjan,Estimated,0.329,3.29,,,39RUM,6/16/2010,0,0,0,0,0
153,Marjan,Estimated,0.038,0.38,,,39RUM,7/10/2010,0,0,0,0,0
333,Marjan,Estimated,0.175,1.75,,,39RUM,9/15/2010,0,0,0,0,0
230,Marjan,Estimated,0.288,2.88,,,39RUM,1/6/2011,0,0,0,0,0
320,Marjan,Estimated,0.13,1.3,,,39RUM,3/2/2011,0,0,0,0,0
7,Marjan,Estimated,0.3,3,,,39RUM,4/8/2011,0,0,0,0,0
4,Marjan,Estimated,0.016,0.16,,,39RUM,5/9/2011,0,0,0,0,0
176,Marjan,Estimated,0.397,3.97,,,39RUM,5/11/2011,0,0,0,0,0
115,Marjan,Estimated,0.006,0.06,,,39RUM,5/24/2011,0,0,0,0,0
129,Marjan,Estimated,0.91,9.1,,,39RUM,3/27/2012,0,0,0,0,0
76,Marjan,Estimated,1.2,12,,,39RUM,11/26/2012,0,0,0,0,0
157,Marjan,Estimated,0.001,0.01,,,39RUM,8/7/2013,0,0,0,0,0
307,Marjan,Estimated,0.987,9.87,,,39RUM,4/23/2015,0,0,0,0,0
33,Marjan,Estimated,1.693,16.93,,,39RUM,9/28/2016,0,0,0,0,0
120,Qatif,Estimated,0.03,0.3,,,39RUK,4/12/2009,0,0,0,0,0
193,Qatif,Estimated,0,0,,,39RUK,5/29/2009,0,0,0,0,0
146,Qatif,Estimated,1.16,11.6,,,39RUK,4/21/2010,0,0,0,0,0
271,Qatif,Estimated,0.274,2.74,,,39RUK,4/26/2010,0,0,0,0,0
256,Qatif,Estimated,0.474,4.74,,,39RUK,12/10/2011,0,0,0,0,0
223,Ras Tanura,Estimated,0,0,,,39RVK,1/10/2009,0,0,0,0,0
23,Ras Tanura,Estimated,0.37,3.7,,,39RVK,1/18/2009,0,0,0,0,0
28,Ras Tanura,Estimated,0.2,2,,,39RVK,1/25/2009,0,0,0,0,0
34,Ras Tanura,Estimated,0.08,0.8,,,39RVK,2/8/2009,0,0,0,0,0
277,Ras Tanura,Estimated,0.025,0.25,,,39RVK,4/27/2009,0,0,0,0,0
243,Ras Tanura,Estimated,0,0,,,39RVK,5/7/2009,0,0,0,0,0
89,Ras Tanura,Estimated,0.007,0.07,,,39RVK,7/27/2009,0,0,0,0,0
268,Ras Tanura,Estimated,0.003,0.03,,,39RVK,3/3/2010,0,0,0,0,0
139,Ras Tanura,Estimated,160.49,1604.9,,,39RVK,5/31/2010,0,0,0,0,0
252,Ras Tanura,Estimated,0.001,0.01,,,39RVK,9/23/2010,0,0,0,0,0
287,Ras Tanura,Estimated,0.051,0.51,,,39RVK,12/25/2010,0,0,0,0,0
297,Ras Tanura,Estimated,0.03,0.3,,,39RVK,7/18/2011,0,0,0,0,0
315,Ras Tanura,Estimated,0.006,0.06,,,39RVK,9/15/2011,0,0,0,0,0
334,Ras Tanura,Estimated,0.001,0.01,,,39RVK,10/12/2011,0,0,0,0,0
41,Ras Tanura,Estimated,0.002,0.02,,,39RVK,7/11/2013,0,0,0,0,0
239,Ras Tanura,Estimated,0.012,0.12,,,39RVK,5/1/2014,0,0,0,0,0
90,Ras Tanura,Estimated,0.001,0.01,,,39RVK,5/14/2014,0,0,0,0,0
265,Safaniyah,Estimated,0.01,0.1,,,39RTM,1/18/2009,0,0,0,0,0
158,Safaniyah,Estimated,9.3,93,,,39RTM,1/27/2009,0,0,0,0,0
304,Safaniyah,Estimated,0.06,0.6,,,39RTM,1/27/2009,0,0,0,0,0
329,Safaniyah,Estimated,0.48,4.8,,,39RTM,1/30/2009,0,0,0,0,0
93,Safaniyah,Estimated,0.44,4.4,,,39RTM,2/6/2009,0,0,0,0,0
119,Safaniyah,Estimated,3.2,32,,,39RTM,3/5/2009,0,0,0,0,0
330,Safaniyah,Estimated,3.69,36.9,,,39RTM,3/8/2009,0,0,0,0,0
20,Safaniyah,Estimated,2,20,,,39RTM,4/13/2009,0,0,0,0,0
207,Safaniyah,Estimated,0.05,0.5,,,39RTM,5/9/2009,0,0,0,0,0
305,Safaniyah,Estimated,3.6,36,,,39RTM,5/20/2009,0,0,0,0,0
308,Safaniyah,Estimated,0.004,0.04,,,39RTM,7/5/2009,0,0,0,0,0
16,Safaniyah,Estimated,0.002,0.02,,,39RTM,7/9/2009,0,0,0,0,0
82,Safaniyah,Estimated,0.592,5.92,,,39RTM,7/15/2009,0,0,0,0,0
171,Safaniyah,Estimated,3.015,30.15,,,39RTM,8/8/2009,0,0,0,0,0
10,Safaniyah,Estimated,0.013,0.13,,,39RTM,8/20/2009,0,0,0,0,0
213,Safaniyah,Estimated,0,0,,,39RTM,9/3/2009,0,0,0,0,0
270,Safaniyah,Estimated,0.35,3.5,,,39RTM,9/11/2009,0,0,0,0,0
91,Safaniyah,Estimated,0.03,0.3,,,39RTM,11/10/2009,0,0,0,0,0
74,Safaniyah,Estimated,0.003,0.03,,,39RTM,3/12/2010,0,0,0,0,0
182,Safaniyah,Estimated,0.001,0.01,,,39RTM,4/12/2010,0,0,0,0,0
282,Safaniyah,Estimated,0.175,1.75,,,39RTM,4/13/2010,0,0,0,0,0
134,Safaniyah,Estimated,0.091,0.91,,,39RTM,4/24/2010,0,0,0,0,0
251,Safaniyah,Estimated,397.91,3979.1,,,39RTM,6/11/2010,0,0,0,0,0
121,Safaniyah,Estimated,158.04,1580.4,,,39RTM,6/20/2010,0,0,0,0,0
102,Safaniyah,Estimated,0.135,1.35,,,39RTM,7/21/2010,0,0,0,0,0
24,Safaniyah,Estimated,597,5970,,,39RTM,12/13/2010,0,0,0,0,0
26,Safaniyah,Estimated,0.154,1.54,,,39RTM,12/21/2010,0,0,0,0,0
149,Safaniyah,Estimated,0.05,0.5,,,39RTM,12/25/2010,0,0,0,0,0
166,Safaniyah,Estimated,0.003,0.03,,,39RTM,1/25/2011,0,0,0,0,0
218,Safaniyah,Estimated,0.5,5,,,39RTM,2/15/2011,0,0,0,0,0
285,Safaniyah,Estimated,0.038,0.38,,,39RTM,3/25/2011,0,0,0,0,0
286,Safaniyah,Estimated,0.13,1.3,,,39RTM,3/29/2011,0,0,0,0,0
328,Safaniyah,Estimated,0.02,0.2,,,39RTM,4/4/2011,0,0,0,0,0
172,Safaniyah,Estimated,2,20,,,39RTM,4/9/2011,0,0,0,0,0
51,Safaniyah,Estimated,0.5,5,,,39RTM,4/28/2011,0,0,0,0,0
318,Safaniyah,Estimated,0.158,1.58,,,39RTM,6/12/2011,0,0,0,0,0
159,Safaniyah,Estimated,1.973,19.73,,,39RTM,6/30/2011,0,0,0,0,0
148,Safaniyah,Estimated,0.007,0.07,,,39RTM,7/25/2011,0,0,0,0,0
237,Safaniyah,Estimated,0.92,9.2,,,39RTM,8/10/2011,0,0,0,0,0
65,Safaniyah,Estimated,32029.661,320296.61,,,39RTM,10/21/2011,0,0,0,0,0
301,Safaniyah,Estimated,3.55,35.5,,,39RTM,10/31/2011,0,0,0,0,0
253,Safaniyah,Estimated,2,20,,,39RTM,11/23/2011,0,0,0,0,0
0,Safaniyah,Estimated,3,30,,,39RTM,1/17/2012,0,0,0,0,0
185,Safaniyah,Estimated,6,60,,,39RTM,2/13/2012,0,0,0,0,0
18,Safaniyah,Estimated,0.39,3.9,,,39RTM,3/21/2012,0,0,0,0,0
141,Safaniyah,Estimated,0.139,1.39,,,39RTM,3/24/2012,0,0,0,0,0
314,Safaniyah,Estimated,0.001,0.01,,,39RTM,4/9/2012,0,0,0,0,0
280,Safaniyah,Estimated,0,0,,,39RTM,5/15/2012,0,0,0,0,0
39,Safaniyah,Estimated,26,260,,,39RTM,7/8/2012,0,0,0,0,0
84,Safaniyah,Estimated,17.9,179,,,39RTM,8/4/2012,0,0,0,0,0
194,Safaniyah,Estimated,2.19,21.9,,,39RTM,10/1/2012,0,0,0,0,0
221,Safaniyah,Estimated,298,2980,,,39RTM,3/26/2013,0,0,0,0,0
291,Safaniyah,Estimated,272,2720,,,39RTM,5/8/2013,0,0,0,0,0
163,Safaniyah,Estimated,0.023,0.23,,,39RTM,5/10/2013,0,0,0,0,0
202,Safaniyah,Estimated,200,2000,,,39RTM,11/12/2013,0,0,0,0,0
44,Safaniyah,Estimated,0.1,1,,,39RTM,12/31/2013,0,0,0,0,0
224,Safaniyah,Estimated,5.5,55,,,39RTM,1/5/2014,0,0,0,0,0
272,Safaniyah,Estimated,6.1,61,,,39RTM,1/14/2014,0,0,0,0,0
132,Safaniyah,Estimated,13.8,138,,,39RTM,1/16/2014,0,0,0,0,0
205,Safaniyah,Estimated,0.004,0.04,,,39RTM,4/4/2014,0,0,0,0,0
281,Safaniyah,Estimated,0.003,0.03,,,39RTM,4/7/2014,0,0,0,0,0
290,Safaniyah,Estimated,0.26,2.6,,,39RTM,4/13/2014,0,0,0,0,0
296,Safaniyah,Estimated,0.592,5.92,,,39RTM,4/17/2014,0,0,0,0,0
322,Safaniyah,Estimated,0.002,0.02,,,39RTM,9/1/2014,0,0,0,0,0
3,Safaniyah,Estimated,13.362,133.62,,,39RTM,9/2/2014,0,0,0,0,0
66,Safaniyah,Estimated,3.22,32.2,,,39RTM,12/12/2014,0,0,0,0,0
183,Safaniyah,Estimated,37.9,379,,,39RTM,1/15/2015,0,0,0,0,0
53,Safaniyah,Estimated,11,110,,,39RTM,1/16/2015,0,0,0,0,0
64,Safaniyah,Estimated,0.001,0.01,,,39RTM,2/9/2015,0,0,0,0,0
69,Safaniyah,Estimated,1.443,14.43,,,39RTM,3/25/2015,0,0,0,0,0
147,Safaniyah,Estimated,0.887,8.87,,,39RTM,4/17/2015,0,0,0,0,0
215,Safaniyah,Exact,19.321,193.21,,,39RTM,8/1/2015,0,0,0,0,0
228,Safaniyah,Estimated,0.012,0.12,,,39RTM,11/9/2015,0,0,0,0,0
2,Safaniyah,Estimated,17.818,178.18,,,39RTM,11/16/2015,0,0,0,0,0
62,Safaniyah,Estimated,7.87,78.7,,,39RTM,12/20/2015,0,0,0,0,0
109,Sea Island,Estimated,0.01,0.1,,,39RVK,2/9/2009,0,0,0,0,0
144,Sea Island,Estimated,0.04,0.4,,,39RVK,2/28/2009,0,0,0,0,0
169,Sea Island,Estimated,0.002,0.02,,,39RVK,3/6/2009,0,0,0,0,0
177,Sea Island,Estimated,0.5,5,,,39RVK,4/6/2009,0,0,0,0,0
229,Sea Island,Estimated,0.03,0.3,,,39RVK,5/14/2009,0,0,0,0,0
249,Sea Island,Estimated,0.03,0.3,,,39RVK,5/29/2009,0,0,0,0,0
263,Sea Island,Estimated,5.93,59.3,,,39RVK,2/25/2015,0,0,0,0,0
321,Sea Island,Estimated,2.782,27.82,,,39RVK,5/7/2015,0,0,0,0,0
11,Sea Island,Estimated,34.775,347.75,,,39RVK,2/22/2016,0,0,0,0,0
48,Sea Island,Estimated,0.166,1.66,,,39RVK,5/9/2016,0,0,0,0,0
154,Sea Island,Estimated,0.148,1.48,,,39RVK,12/16/2016,0,0,0,0,0
165,Sea Island,Estimated,0.011,0.11,,,39RVK,1/19/2017,0,0,0,0,0
216,Yanbu,Estimated,0.013,0.13,,,37QCG,3/21/2009,0,0,0,0,0
232,Yanbu,Estimated,12,120,,,37QCG,10/5/2009,0,0,0,0,0
283,Yanbu,Estimated,0.01,0.1,,,37QCG,3/5/2011,0,0,0,0,0
13,Yanbu,Estimated,0.313,3.13,,,37QCG,3/27/2012,0,0,0,0,0
25,Yanbu,Estimated,0.001,0.01,,,37QCG,1/16/2014,0,0,0,0,0
27,Yanbu,Estimated,0.73,7.3,,,37QCG,2/21/2014,0,0,0,0,0
31,Yanbu,Estimated,0.001,0.01,,,37QCG,6/20/2015,0,0,0,0,0
35,Yanbu,Estimated,0.01,0.1,,,37QCG,11/14/2015,0,0,0,0,0
37,Zuluf,Estimated,0.08,0.8,,,39RUM,1/28/2009,0,0,0,0,0
38,Zuluf,Estimated,0.06,0.6,,,39RUM,3/13/2009,0,0,0,0,0
56,Zuluf,Estimated,0.45,4.5,,,39RUM,3/14/2009,0,0,0,0,0
67,Zuluf,Estimated,0.2,2,,,39RUM,6/2/2009,0,0,0,0,0
68,Zuluf,Estimated,0.059,0.59,,,39RUM,7/17/2009,0,0,0,0,0
73,Zuluf,Estimated,15.27,152.7,,,39RUM,8/3/2009,0,0,0,0,0
80,Zuluf,Estimated,0,0,,,39RUM,10/11/2009,0,0,0,0,0
125,Zuluf,Estimated,1.73,17.3,,,39RUM,1/10/2010,0,0,0,0,0
128,Zuluf,Estimated,0.32,3.2,,,39RUM,4/4/2010,0,0,0,0,0
135,Zuluf,Estimated,0.274,2.74,,,39RUM,8/9/2010,0,0,0,0,0
164,Zuluf,Estimated,0.465,4.65,,,39RUM,10/21/2010,0,0,0,0,0
168,Zuluf,Estimated,0.104,1.04,,,39RUM,11/8/2010,0,0,0,0,0
170,Zuluf,Estimated,0.026,0.26,,,39RUM,1/1/2011,0,0,0,0,0
198,Zuluf,Estimated,4.65,46.5,,,39RUM,1/19/2011,0,0,0,0,0
244,Zuluf,Estimated,0.25,2.5,,,39RUM,3/2/2011,0,0,0,0,0
264,Zuluf,Estimated,0.003,0.03,,,39RUM,3/9/2011,0,0,0,0,0
288,Zuluf,Estimated,0.01,0.1,,,39RUM,4/9/2011,0,0,0,0,0
289,Zuluf,Estimated,1.75,17.5,,,39RUM,5/31/2011,0,0,0,0,0
293,Zuluf,Estimated,0.818,8.18,,,39RUM,6/25/2011,0,0,0,0,0
327,Zuluf,Estimated,0.49,4.9,,,39RUM,7/20/2011,0,0,0,0,0
15,Zuluf,Estimated,0.006,0.06,,,39RUM,7/26/2011,0,0,0,0,0
49,Zuluf,Estimated,0.001,0.01,,,39RUM,8/5/2011,0,0,0,0,0
54,Zuluf,Estimated,0.029,0.29,,,39RUM,8/8/2011,0,0,0,0,0
59,Zuluf,Estimated,0.08,0.8,,,39RUM,8/25/2011,0,0,0,0,0
60,Zuluf,Estimated,0.071,0.71,,,39RUM,9/26/2011,0,0,0,0,0
70,Zuluf,Estimated,0.016,0.16,,,39RUM,4/8/2012,0,0,0,0,0
71,Zuluf,Estimated,0.11,1.1,,,39RUM,9/2/2012,0,0,0,0,0
72,Zuluf,Estimated,0.3,3,,,39RUM,11/3/2012,0,0,0,0,0
104,Zuluf,Estimated,2.47,24.7,,,39RUM,12/29/2012,0,0,0,0,0
118,Zuluf,Estimated,5,50,,,39RUM,4/12/2013,0,0,0,0,0
150,Zuluf,Estimated,9.1,91,,,39RUM,1/16/2014,0,0,0,0,0
155,Zuluf,Estimated,5.262,52.62,,,39RUM,8/1/2014,0,0,0,0,0
160,Zuluf,Estimated,8.215,82.15,,,39RUM,3/4/2015,0,0,0,0,0
192,Zuluf,Estimated,8.587,85.87,,,39RUM,12/4/2015,0,0,0,0,0
220,Zuluf,Estimated,0.303,3.03,,,39RUM,7/10/2016,0,0,0,0,0
245,Zuluf,Estimated,4.458,44.58,,,39RUM,4/2/2017,0,0,0,0,0
